Distance (cm),Voltage,adc,E (V/m)
12,0,22.17,0
12,0,22.6,0
12,10,495.3,83.3333333333333
12,10,465.2,83.3333333333333
12,20,878.4,166.666666666667
12,20,836.8,166.666666666667
12,30,1317.3,250
12,30,1257,250
12,40,1611.5,333.333333333333
12,40,1609,333.333333333333
12,50,1763.9,416.666666666667
12,50,1764,416.666666666667
21,0,23.7,0
21,0,22.5,0
21,10,144.6,47.6190476190476
21,10,144.2,47.6190476190476
21,20,292.1,95.2380952380952
21,20,295.1,95.2380952380952
21,30,428.7,142.857142857143
21,30,418,142.857142857143
21,40,585.9,190.47619047619
21,40,582.4,190.47619047619
21,50,738.6,238.095238095238
21,50,742.8,238.095238095238
34,0,26.3,0
34,0,24.5,0
34,10,71.6,29.4117647058824
34,10,73.8,29.4117647058824
34,20,144,58.8235294117647
34,20,155.8,58.8235294117647
34,30,199.3,88.2352941176471
34,30,217.6,88.2352941176471
34,40,230.5,117.647058823529
34,40,287.8,117.647058823529
34,50,378.3,147.058823529412
34,50,389.9,147.058823529412
